week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
139,77,1878,665.48,243.53,0,0,16.0
102,157,2707,342.44,125.13,0,0,1012.0
34,109,2322,389.03,447.23,0,0,655.0
138,152,1207,689.73,679.03,0,0,132.0
109,137,2577,447.23,164.96,0,0,157.0
40,59,1216,119.34,446.23,0,0,801.0
34,17,2304,622.77,293.94,0,0,1074.0
79,124,2539,243.53,154.26,0,0,353.0
4,174,1445,426.83,299.79,0,0,1201.0
33,174,1962,599.49,445.23,0,0,135.0
65,27,2826,128.07,465.63,0,0,1050.0
58,126,2444,311.43,553.93,0,0,495.0
71,58,1525,220.19,513.13,0,0,112.0
44,129,1770,446.23,171.69,0,1,347.0
89,59,1062,280.33,485.03,0,0,563.0
127,52,2304,263.84,55.35,0,1,975.0
19,39,2444,513.13,234.74,0,0,1059.0
79,108,2704,56.26,610.19,0,1,175.0
21,29,1971,242.53,291.03,0,0,645.0
106,36,2640,560.69,279.42,0,0,803.0
61,42,1754,663.48,387.03,0,0,434.0
86,14,2577,552.93,220.22,0,0,1072.0
29,104,1558,129.07,380.24,0,0,351.0
23,161,2631,280.36,133.86,0,0,36.0
74,39,1311,539.35,486.03,0,0,62.0
55,113,2322,458.84,335.62,0,0,840.0
137,92,1558,325.98,285.18,0,0,691.0
114,75,1878,304.64,456.87,0,0,1162.0
111,104,2707,446.23,296.82,0,0,1153.0
132,102,1993,165.93,290.03,0,1,1118.0
14,72,1962,301.73,708.13,1,0,64.0
84,30,2581,338.53,220.19,0,0,923.0
88,157,2664,607.22,485.03,0,0,865.0
140,157,1207,309.49,431.68,0,1,809.0
46,108,2704,387.03,141.65,0,0,878.0
38,143,2664,182.39,290.03,0,0,1109.0
16,42,2707,466.63,387.03,0,0,790.0
3,99,2760,120.34,183.39,0,0,465.0
136,11,1971,257.08,253.2,0,0,666.0
100,97,2490,161.08,660.63,0,0,265.0
116,81,1754,116.43,743.05,0,0,726.0
44,152,1558,455.96,294.94,0,0,24.0
89,13,2577,290.03,699.43,0,1,196.0
10,26,2577,95.06,213.43,1,0,418.0
74,36,2664,244.5,629.53,0,0,972.0
143,101,1754,282.33,340.53,0,0,885.0
129,27,2581,180.48,292.03,1,0,424.0
53,52,1878,338.53,325.98,0,0,767.0
140,104,1445,252.2,204.7,0,1,63.0
37,52,2664,582.03,416.13,0,0,212.0
139,101,1248,280.36,177.57,0,0,2420.0
137,27,2581,485.03,120.28,0,0,365.0
118,13,2664,230.92,420.98,0,0,492.0
95,59,1062,679.03,133.89,0,0,679.0
128,153,2104,152.32,644.11,0,1,369.0
46,65,1109,156.17,639.23,0,0,594.0
125,97,2581,176.57,266.78,0,0,304.0
93,17,2104,111.61,437.53,1,0,72.0
2,13,1902,315.25,277.42,0,1,231.0
54,80,1230,484.03,583.03,0,0,648.0
24,39,2760,166.87,289.06,1,0,99.0
143,75,2704,282.33,533.53,0,0,1717.0
73,110,1778,437.47,291.03,0,0,412.0
76,57,2490,212.43,242.5,0,0,517.0
96,53,2826,292.03,697.43,0,0,134.0
57,66,1971,388.03,246.38,0,0,1116.0
22,55,2704,631.53,509.31,0,0,589.0
121,29,2290,205.7,171.75,0,0,1034.0
30,32,2322,648.99,620.86,0,0,1198.0
78,57,1847,244.5,144.56,0,0,430.0
35,55,1230,97.97,445.23,0,1,595.0
16,42,2306,320.13,717.86,0,0,863.0
127,89,1971,584.97,109.64,0,0,531.0
142,68,1778,630.53,445.23,0,0,380.0
140,124,1770,410.37,495.73,0,0,905.0
133,97,2631,147.5,401.61,0,0,2313.0
115,42,1543,154.26,235.71,0,0,1130.0
52,59,2290,590.73,291.03,1,0,774.0
13,186,2492,427.77,718.83,0,0,469.0
63,91,2444,334.71,485.03,0,0,1196.0
37,66,2322,151.32,279.42,0,0,789.0
21,30,2760,664.45,727.53,0,0,93.0
9,53,2569,149.38,293.97,0,0,116.0
108,94,2444,189.18,326.89,1,0,924.0
2,53,1216,532.53,619.86,0,0,87.0
114,39,1778,120.34,508.31,0,0,23.0
24,14,1962,497.67,233.83,0,0,491.0
13,77,1445,96.03,639.23,0,0,643.0
15,152,1878,640.23,144.56,0,0,558.0
100,72,2569,313.31,534.53,0,1,606.0
39,75,1543,155.26,678.03,0,0,723.0
65,43,2494,181.39,678.09,0,0,838.0
85,30,1445,494.7,311.4,0,1,527.0
127,59,2104,220.19,520.89,0,0,460.0
108,29,1062,178.54,563.63,0,0,1213.0
43,42,1902,191.12,210.49,0,0,330.0
21,94,2569,307.49,416.13,1,0,957.0
9,14,2581,611.13,304.58,0,0,537.0
47,94,1878,309.43,636.32,0,0,448.0
41,132,1109,192.06,158.11,1,0,91.0
70,39,1198,582.03,281.33,0,0,1062.0
102,77,1878,281.33,292.0,0,0,865.0
104,137,1962,261.93,622.74,1,0,1110.0
45,86,2569,388.03,346.35,0,0,561.0
59,77,1902,291.03,511.19,0,1,835.0
29,126,2490,138.71,298.76,0,0,1372.0
117,26,1778,549.05,415.16,0,0,496.0
9,97,2640,370.6,468.51,0,0,265.0
104,68,1727,209.55,496.64,1,0,64.0
115,104,1216,137.8,455.93,0,0,1164.0
115,20,1247,291.03,389.03,0,1,275.0
41,177,2707,262.93,97.03,0,0,191.0
58,152,2139,308.46,291.03,0,0,253.0
89,101,2126,323.07,470.51,0,0,472.0
43,97,2444,196.97,223.13,1,0,12819.0
57,139,2577,691.61,348.23,0,1,197.0
31,27,1207,401.58,153.32,0,0,1214.0
70,94,2704,249.29,154.26,1,0,1207.0
7,92,1445,159.11,398.7,0,1,193.0
118,145,1207,370.54,290.03,0,0,506.0
13,73,2139,538.38,238.62,0,0,839.0
79,157,1230,418.1,389.03,0,0,1079.0
48,43,2322,511.22,640.23,0,0,615.0
87,113,2104,689.73,485.03,0,0,1127.0
140,34,1062,153.26,116.43,0,0,405.0
97,51,2640,584.97,291.03,0,0,618.0
6,67,2707,241.56,232.83,0,1,619.0
66,143,2826,437.47,149.41,1,0,827.0
78,161,1207,524.77,282.33,0,0,258.0
82,23,1971,577.21,241.53,0,0,753.0
102,110,1971,151.38,505.43,0,0,279.0
44,51,1971,389.03,337.62,0,0,426.0
21,67,1885,402.55,254.2,0,0,1182.0
61,86,2569,269.72,291.03,1,0,1105.0
140,20,2577,387.03,196.0,0,0,1006.0
30,65,1885,121.31,290.03,0,0,56.0
132,14,1216,280.33,281.33,1,1,193.0
83,10,1247,326.89,231.83,0,0,325.0
70,50,1993,324.98,309.49,0,0,965.0
130,139,2490,157.2,728.53,0,0,1036.0
70,72,2322,152.35,291.03,0,1,721.0
108,43,1198,142.59,485.03,0,0,885.0
62,13,1525,132.95,181.39,1,0,993.0
132,10,1558,640.23,679.03,0,0,94.0
103,67,1778,583.03,407.43,0,0,116.0
104,80,1971,261.93,292.03,1,0,1068.0
51,32,2290,328.89,646.05,0,1,61.0
112,53,1847,410.37,179.45,0,0,286.0
95,67,2707,383.18,629.53,0,0,62.0
38,110,1247,447.23,403.55,0,0,32.0
26,108,2760,99.94,281.33,0,0,1038.0
118,132,1248,88.33,150.35,1,0,414.0
140,67,1109,171.75,183.39,0,0,208.0
70,53,1971,260.99,187.21,1,0,194.0
89,153,1445,445.23,485.03,0,0,810.0
126,27,1445,143.56,311.43,0,0,1189.0
70,88,2826,242.53,291.03,0,0,626.0
139,14,2494,383.15,416.13,0,0,1107.0
87,81,2640,447.23,383.21,0,0,623.0
121,61,1558,291.06,350.17,0,0,710.0
133,108,2444,680.03,406.46,0,1,837.0
121,55,1445,727.53,238.62,1,0,991.0
26,132,2826,400.64,486.03,0,0,933.0
94,146,1803,184.3,321.13,0,0,1216.0
61,162,1885,310.46,281.36,1,0,920.0
10,145,1962,562.6,680.03,0,0,1113.0
65,30,2569,316.28,146.53,0,0,263.0
41,124,1543,484.03,169.78,0,0,663.0
125,20,1962,466.63,484.03,0,0,740.0
6,55,1993,184.36,226.98,0,0,1016.0
140,20,1230,317.22,641.23,1,1,599.0
55,83,2492,244.5,323.07,0,0,974.0
55,146,1571,437.5,324.98,0,0,485.0
3,81,2444,484.03,403.55,0,1,725.0
30,30,1230,688.73,629.53,0,0,1047.0
62,29,1062,355.08,446.23,1,0,982.0
136,76,1062,100.94,377.33,0,0,811.0
16,73,2322,291.03,311.43,0,0,13.0
138,80,1230,362.81,340.53,0,0,234.0
128,23,2322,324.98,680.03,0,0,628.0
70,145,1207,447.23,83.42,0,0,322.0
51,137,1878,145.53,291.06,0,0,93.0
37,137,2490,183.33,172.72,0,0,1057.0
92,108,2664,403.55,161.05,1,0,1158.0
6,42,1109,290.03,293.97,0,0,381.0
3,59,1885,147.5,242.5,0,1,509.0
66,101,2631,359.9,281.33,0,0,997.0
11,34,2640,619.86,641.23,0,0,89.0
40,126,2139,425.83,433.65,0,0,791.0
35,81,1216,242.53,641.23,0,0,168.0
40,32,1754,484.09,93.18,0,0,362.0
21,13,2577,244.5,179.48,0,0,1021.0
2,41,1558,670.33,363.81,0,0,80.0
19,146,1248,319.13,173.63,0,1,57.0
93,74,1971,445.23,178.51,0,0,520.0
142,99,1230,290.03,145.56,0,0,610.0
144,143,1902,406.46,699.43,1,0,1061.0
63,68,1109,678.09,528.68,0,0,884.0
26,17,2707,282.33,388.03,0,0,831.0
96,77,2290,152.32,152.32,0,0,197.0
75,99,1993,154.26,680.03,0,0,1211.0
144,126,2139,146.53,533.53,0,0,512.0
11,161,2290,447.23,447.23,0,0,756.0
116,67,1207,290.03,255.17,0,0,483.0
45,93,2664,319.13,145.53,0,0,70.0
38,101,1778,640.23,687.73,0,0,585.0
99,11,2322,446.23,145.56,0,1,197.0
39,126,1543,338.53,192.09,0,0,52.0
99,80,1962,561.63,427.8,0,0,763.0
79,149,2322,143.62,396.73,0,0,778.0
65,161,1543,670.33,292.03,0,0,141.0
84,23,1248,455.93,551.93,0,0,680.0
45,93,1525,709.13,563.63,0,0,434.0
105,104,2760,189.15,662.57,0,0,479.0
64,59,1885,327.86,123.25,0,1,956.0
56,94,2826,397.73,165.87,0,0,608.0
122,149,1207,242.5,282.33,0,0,1083.0
135,143,1207,291.03,273.57,0,0,754.0
8,104,2581,673.18,310.46,0,1,580.0
37,26,1247,233.83,756.63,1,0,781.0
54,66,1971,631.53,464.63,0,1,423.0
120,51,1438,242.5,526.71,0,0,164.0
144,72,2490,120.31,485.03,0,0,842.0
141,124,2306,98.94,484.03,0,0,768.0
132,104,2640,151.38,392.88,0,0,971.0
47,43,1558,194.0,332.71,0,0,167.0
145,109,1993,326.89,290.03,0,0,1120.0
39,61,1878,228.92,290.03,0,1,984.0
17,32,2126,292.03,432.68,0,0,1126.0
139,66,2707,486.03,310.43,0,0,1073.0
37,81,2492,243.53,177.54,0,0,840.0
103,145,2707,182.42,241.53,1,1,997.0
10,58,2826,689.73,235.71,0,0,643.0
109,137,2760,248.38,370.54,0,0,967.0
129,161,1247,195.0,243.53,0,0,243.0
43,10,1216,115.49,446.23,0,0,963.0
59,102,2539,58.26,455.93,0,0,553.0
58,104,1247,640.23,254.17,0,0,932.0
111,50,1902,241.53,428.74,0,0,566.0
38,36,1847,220.19,660.63,0,0,972.0
27,177,2867,97.0,698.43,0,0,104.0
69,126,2322,630.53,144.59,0,1,67.0
48,10,1438,555.87,120.34,0,0,1148.0
124,124,2581,290.03,340.53,0,0,603.0
38,73,2577,311.43,281.36,0,0,1107.0
77,64,1971,687.73,659.63,0,0,1160.0
138,137,1878,486.03,321.07,0,0,822.0
95,146,1727,116.46,337.56,0,1,707.0
128,50,1558,160.05,308.46,0,0,275.0
137,104,1062,591.73,678.03,0,0,127.0
111,89,2581,291.03,327.86,0,1,1008.0
104,77,1525,447.23,155.26,0,0,1092.0
141,88,2304,487.0,511.22,0,0,13102.0
145,162,1902,629.53,280.33,0,1,861.0
69,53,1902,350.23,241.53,0,0,523.0
12,108,1558,469.51,122.25,0,0,384.0
46,64,2492,314.31,401.58,0,0,151.0
25,65,2539,98.03,486.03,0,0,530.0
64,58,2126,327.86,479.18,0,1,700.0
21,20,2867,539.38,639.23,0,0,1134.0
91,81,1445,437.5,486.03,0,0,1149.0
59,11,2490,449.11,146.5,0,1,518.0
131,83,1109,387.03,318.22,0,0,133.0
141,57,2569,317.22,258.08,0,0,953.0
83,27,1778,355.08,241.53,1,1,905.0
43,36,1878,232.8,405.46,0,0,50.0
90,29,1962,243.53,446.23,0,0,555.0
131,143,1207,196.0,406.43,0,0,847.0
63,157,2640,456.93,154.29,0,0,50.0
84,39,2306,152.32,678.03,0,0,1129.0
43,149,1247,255.17,393.85,0,0,1181.0
70,109,1109,243.5,163.02,0,0,890.0
62,39,2581,235.74,268.69,0,0,108.0
39,55,2581,312.4,323.07,0,0,98.0
77,73,1062,612.13,529.68,0,0,449.0
49,110,2492,153.26,291.03,0,0,49.0
58,14,1558,447.23,281.33,1,0,435.0
80,137,2707,290.06,641.23,0,1,25.0
111,124,1062,304.64,137.8,0,0,3625.0
52,10,2956,446.23,174.63,0,0,1008.0
135,30,2631,389.03,572.36,0,1,99.0
127,108,1525,338.53,281.33,1,0,1098.0
8,10,1727,470.51,208.58,0,0,266.0
40,13,1230,175.63,309.43,0,0,262.0
69,36,1207,197.94,486.03,0,0,831.0
17,66,2290,610.19,582.03,0,0,1152.0
54,36,1445,438.5,281.33,0,0,163.0
110,132,1847,311.43,756.63,0,0,22.0
101,129,1885,639.23,321.13,0,0,461.0
94,65,1216,484.03,292.03,0,0,43.0
106,124,2290,120.31,673.24,1,0,747.0
33,14,2569,191.09,424.92,0,0,1056.0
53,81,1198,256.14,447.23,0,0,240.0
101,177,2707,461.78,154.26,0,0,149.0
129,59,1062,150.41,291.06,0,1,431.0
83,88,2539,290.03,322.04,1,0,1178.0
44,153,1847,281.33,485.03,0,0,11100.0
5,129,1770,157.14,307.55,1,0,1187.0
106,20,2539,383.21,292.03,0,0,453.0
2,104,1885,484.03,153.29,0,0,588.0
58,177,2322,176.57,384.12,0,1,368.0
81,99,2569,221.22,379.33,0,1,1151.0
135,91,1571,118.34,267.72,0,0,1176.0
15,53,1207,191.12,142.65,0,0,785.0
63,39,2640,641.23,282.3,0,0,236.0
4,86,2867,513.16,243.53,0,1,1219.0
53,64,1885,120.34,254.17,0,0,138.0
94,152,1971,467.54,336.65,0,0,718.0
44,30,1971,146.47,132.92,0,0,203.0
33,92,2290,387.03,292.03,0,0,1103.0
19,26,2569,426.83,292.03,0,0,1161.0
87,177,2826,657.66,597.55,0,0,990.0
103,152,2704,319.13,321.13,0,1,397.0
100,124,1971,243.53,155.2,0,0,308.0
139,75,1778,134.83,243.53,0,0,930.0
1,17,1971,446.23,310.43,0,0,366.0
97,20,2760,152.35,456.93,1,0,523.0
91,88,2322,244.5,165.93,0,0,69.0
89,32,1062,402.58,290.03,1,0,174.0
141,126,2444,599.46,175.57,0,1,38.0
3,20,2104,276.48,334.71,0,0,108.0
104,162,1247,495.73,262.93,0,0,102.0
120,132,2539,281.33,267.72,0,0,523.0
78,14,1727,100.88,447.23,0,0,682.0
52,50,1778,525.8,486.03,0,0,913.0
117,76,2640,403.55,97.03,0,0,186.0
16,55,2640,98.0,111.61,0,0,526.0
68,113,2664,228.92,243.53,0,0,786.0
79,146,1543,443.32,572.36,0,0,116.0
103,93,1993,639.23,486.03,0,0,553.0
15,36,2640,119.34,435.53,0,0,461.0
36,57,2126,319.13,184.36,0,0,1165.0
63,58,2640,480.15,112.58,0,0,83.0
94,36,2826,123.25,578.15,0,0,509.0
130,146,2139,385.09,270.66,0,0,520.0
93,157,1248,292.03,527.68,0,0,897.0
21,89,1109,322.1,689.73,0,0,402.0
143,66,2760,437.5,320.13,0,1,261.0
128,36,1993,389.0,171.72,0,0,369.0
77,104,1109,96.09,120.34,0,0,585.0
135,77,1247,133.86,311.43,0,0,1167.0
82,30,2444,327.92,144.59,0,0,980.0
135,34,2704,445.23,446.23,0,0,349.0
122,152,1754,464.63,290.03,0,0,691.0
141,143,1543,280.33,116.43,0,0,849.0
135,73,2577,486.03,620.8,1,0,979.0
6,52,1778,581.03,445.23,0,1,555.0
28,77,2826,765.33,522.89,0,0,497.0
60,11,2826,188.24,400.64,0,1,945.0
139,32,1847,709.13,182.39,0,0,537.0
47,102,2304,177.57,226.01,0,0,314.0
26,162,2581,610.13,151.38,1,0,564.0
130,51,2104,317.19,692.64,0,0,1151.0
69,29,1207,325.98,155.26,0,0,186.0
133,74,1902,388.03,446.23,0,0,575.0
26,88,2826,629.53,116.46,0,0,17787.0
99,92,1543,262.93,290.03,0,0,600.0
68,153,2640,148.41,176.57,0,1,260.0
12,64,2631,639.23,446.23,0,0,15.0
104,108,2664,292.03,124.22,0,0,862.0
39,29,1230,217.28,293.97,0,0,764.0
7,72,2826,241.53,242.5,0,0,22.0
10,124,1216,242.53,181.45,0,0,376.0
10,91,1885,120.34,168.81,0,0,946.0
133,14,1558,207.61,315.25,0,0,1991.0
110,30,1109,403.58,130.95,0,0,675.0
132,72,2569,167.87,456.93,1,0,203.0
100,61,2707,195.0,321.13,0,0,871.0
81,64,2581,337.56,309.49,0,0,585.0
48,153,1230,561.63,181.45,0,0,837.0
145,145,1727,282.33,304.64,0,0,936.0
56,145,2494,236.68,680.03,0,0,295.0
72,61,1543,97.0,629.53,0,0,938.0
58,64,2581,402.55,300.7,0,0,353.0
